id,verified,favourites_count,followers_count,friends_count,statuses_count,type
125101376,0,4,1543,1890,399,1
178827861,0,13,226,229,163,1
380431590,0,0,97,76,145,1
348668355,0,0,49,178,173,1
183388997,0,0,3,0,281,1
348541424,0,26,935,419,601,1
122484560,0,2,561,314,2019,1
380804427,0,53,604,0,348,1
122344315,0,8,1218,51,210,1
385143499,0,8,219,340,124,1
184430214,0,3,379,523,528,1
382420984,0,3,835,563,559,1
120285512,0,552,18958,13057,5520,1
120125806,0,0,27,24,176,1
119992061,0,4,85,167,1134,1
185285088,0,0,104,175,115,1
384888590,0,84,306,459,356,1
116322786,0,6222,898,113,2338,1
185803078,0,1,56,209,323,1
114565660,0,0,551,1688,202,1
113653861,0,5,215,71,358,1
113447517,0,3,31,40,107,1
382026391,0,12,2720,535,654,1
234068988,0,66,832,972,3100,1
59728070,0,0,9,240,1702,1
468689320,0,1,512,713,1623,1
517078205,0,0,0,0,203,1
517556170,0,13,11,44,104,1
517670760,0,0,146,609,113,1
517774727,0,8,352,276,677,1
25345835,0,0,112,79,209,1
25301938,0,1,108,54,3132,1
25221065,0,23,88,257,282,1
298239025,0,5,429,96,367,1
517885816,0,48,146,433,1337,1
24960967,0,239,1644,818,1123,1
298566254,0,0,779,450,28628,1
253867847,0,1,355,1711,99370,1
255420245,0,203,193,61,407,1
255610822,0,30,159,289,175,1
294785342,0,23,385,442,161,1
523411053,0,0,293,338,1847,1
523426321,0,401,156,260,1196,1
257458585,0,1,18,17,189,1
22472386,0,8,746,1219,1808,1
294091231,0,0,322,455,1582,1
22080515,0,0,14386,9394,18053,1
21780239,0,0,1909,193,874,1
519654987,0,0,343,203,656,1
26873814,0,0,100,20,3301,1
514662742,0,1,22,33,245,1
252528624,0,2,594,1920,644,1
246158124,0,973,153,120,943,1
302084654,0,1,450,1123,346,1
32447898,0,1,435,6,1665,1
499102123,0,36,1190,1984,7652,1
32249249,0,107,1985,377,722,1
32230773,0,0,144,14,1240,1
31622591,0,0,362,451,6698,1
31299409,0,861,7760,57,1813,1
301612838,0,3,5734,6816,421,1
249810932,0,0,29,34,1474,1
300481454,0,7,571,685,692,1
250222643,0,0,12713,1572,206,1
507377300,0,8,396,158,246,1
507768692,0,0,11,5,191,1
29750620,0,0,18,50,133,1
299849022,0,0,0,0,11695,1
508558395,0,7,51,15,254,1
510312022,0,46,208,83,168,1
28345325,0,0,427,534,116,1
313478014,0,1,159,408,113,1
27760531,0,724,5478,2259,4752,1
512453864,0,0,83,560,362,1
27626557,0,0,9191,10328,1120,1
21437260,0,0,785,777,9241,1
245710762,0,0,1723,1967,1172,1
21427192,0,0,83,184,213,1
21255527,0,3,2177,401,149,1
17266650,0,2,1065,1080,11603,1
268182737,0,0,334,1055,599,1
545500471,0,440,954,841,2192,1
16212975,0,1,33,15,277,1
16161860,0,271,10078,10074,2597,1
547161385,0,228,683,1749,425,1
15824798,0,1,910,156,507,1
15689698,0,81,8797,11201,78093,1
15233132,1,1969,29063,577,15896,1
15154253,0,1,1005,86,494,1
538393573,0,30,273,153,849,1
273665871,1,1471,46851,386,15366,1
552052267,0,2,165,177,1634,1
14787980,0,343,28281,6408,9753,1
14707220,0,576,10892,494,3759,1
277985183,0,601,95669,416,8634,1
555215701,0,0,570,369,448,1
10942902,0,1,271,72,127,1
555392763,0,26,19475,1635,3731,1
555766808,0,14,856,1257,1161,1
556025904,0,0,196,343,249,1
6217192,0,0,776,336,334,1
14986811,0,146,71751,57165,71710,1
17403854,0,0,11,7,913,1
17461540,0,0,91,89,206,1
537349820,0,2,158,188,598,1
531151209,0,0,505,640,2468,1
532574923,0,67,346,1819,138,1
290009041,1,126,1915,166,879,1
20778253,0,222,2528,500,2126,1
20737168,0,12,123,137,1326,1
262513808,0,0,12,159,115,1
20667354,0,0,104,6,602,1
20629728,0,15,360,557,1272,1
289539155,0,0,81,0,3892,1
20595084,0,146,1375,1771,2677,1
289107442,0,0,365,274,137,1
20216848,0,125,344,168,403,1
534121273,0,1388,4291,2555,10656,1
19857350,0,4,146,152,291,1
534130646,0,3,663,918,1398,1
19397341,0,369,1305,523,2333,1
534757492,0,4,96,326,728,1
288381705,0,0,8,7,20910,1
18999763,1,1681,15171,2608,53732,1
18999229,0,785,12525,1368,6081,1
18883747,0,23,1994,0,2062,1
18251122,0,41,1244,1987,17406,1
17662982,0,0,238,249,679,1
292944707,0,3,18,134,208,1
305468443,0,0,1627,1496,716,1
512081119,0,121,456,900,1296,1
244970726,0,13,375,953,172,1
477516522,0,0,834,1208,124,1
245054983,0,15,1595,504,3912,1
478597619,0,968,9543,2285,4824,1
41404738,0,4,51335,57513,20279,1
480367845,0,0,69,122,146,1
41099626,0,0,18,0,740,1
239670865,0,65,572,503,1215,1
239709647,0,0,99,12,134,1
310209347,0,5,30,127,968,1
40772046,0,2,467,205,1197,1
40073048,0,273,410,724,1925,1
240359023,0,7,2321,1088,2516,1
39907194,0,17,457,12,1057,1
483503313,0,7,69,124,160,1
39702481,0,0,473,0,1479,1
39585629,0,0,95,1656,123,1
39356982,0,0,1892,88,112,1
39289217,0,1,367,35,750,1
40727861,0,0,1049,1017,31711,1
476818878,0,10,94,370,123,1
236819903,0,50,164,199,207,1
44148580,0,0,23,1,1058,1
48890994,0,0,2141,789,1784,1
48787442,0,1,1197,613,394,1
468689489,0,111,975,771,3975,1
48523479,0,0,489,566,521,1
48395517,0,0,20,45,300,1
47681469,0,0,450,1506,212,1
47577467,0,558,2832,1795,3459,1
470861780,0,427,93,86,995,1
235252184,0,25,819,534,274,1
46924972,0,4,469,663,2265,1
46620942,0,7,925,519,1023,1
471293670,0,221,1543,1818,2086,1
471603517,0,0,277,175,3146,1
472105410,0,87,749,810,5509,1
45576004,0,12,505,810,697,1
45517312,0,0,431,690,1651,1
45400026,0,0,1287,1584,307,1
311574891,0,0,6,1,936,1
474011159,0,1514,541,396,2078,1
39176934,0,41,236,328,4999,1
308880776,0,1,10,22,407,1
357964568,0,3,103,178,279,1
37749110,0,72,12019,10648,5206,1
491540960,0,0,1398,1984,296445,1
305962195,0,67,542,467,1127,1
35860334,0,0,2047,1641,474,1
34711716,0,26,400,218,1706,1
36214477,0,0,283,118,3833,1
243290837,0,107,2919,2273,1544,1
308564449,0,1,66,27,415,1
38116400,0,50,12738,305,5371,1
243328269,0,72,826,108,1167,1
486238488,0,4,128,74,261,1
34484618,0,282,920,469,2332,1
308633506,0,12,110,96,120,1
489859731,0,4,236,437,1546,1
34247002,0,114,1928,943,1800,1
35539360,0,187,5877,2981,7091,1
484915653,0,0,4,18,192,1
308663071,0,0,223,796,388,1
483742184,0,0,24,21,225,1
354944608,0,305,58,295,491,2
281971049,0,55,678,1605,2074,2
318809130,0,7,49,132,159,2
281713792,0,178,542,1780,11081,2
282165203,0,7,14,11,149,2
283458052,0,266,79,42,1546,2
338081013,0,1,37,28,103,2
331296486,0,558,135,754,2722,2
353453590,0,9383,709,384,19831,2
353291139,0,267,269,324,650,2
320631337,0,6,276,287,3156,2
353177561,0,949,2734,2678,24686,2
283786069,0,16,918,866,26907,2
284487324,0,0,1,0,360,2
284748921,0,14,136,119,2385,2
312952966,0,0,11,20,1480,2
306045668,0,0,8,27,213,2
320972532,0,311,41,103,215,2
321127681,0,0,3,75,479,2
307702713,0,25609,11,205,18145,2
283679734,0,3,139,268,1028,2
355450540,0,8,316,896,718,2
279699187,0,0,157,712,101,2
281148015,0,10,405,493,184,2
357150834,0,961,379,357,11502,2
277357022,0,481,251,271,4571,2
314060589,0,383,819,635,24866,2
356338406,0,12,330,531,670,2
305380838,0,265,144,248,2893,2
315427640,0,165,92,203,1580,2
304233003,0,314,242,235,7070,2
355961694,0,306,55,175,2111,2
338395730,0,27,199,464,3843,2
277531456,0,8,88,170,2586,2
303891802,0,67,242,245,977,2
277998448,0,8,213,269,3170,2
318530181,0,74,159,160,4186,2
315579099,0,2,294,193,112,2
278157821,0,32,160,286,782,2
316971107,0,34354,1801,1952,17881,2
278596898,0,2,82,161,577,2
339218141,0,0,171,324,2271,2
279223627,0,12588,323,149,26602,2
317667941,0,744,525,1555,1131,2
338213459,0,3359,939,625,2429,2
279620018,0,12,150,425,1809,2
355729708,0,1443,99,290,457,2
312822341,0,2772,1998,1823,61429,2
279705945,0,4,23,119,103,2
355722186,0,854,272,425,2077,2
312958604,0,1,35,189,131,2
357435504,0,6,143,299,5451,2
312271795,0,274,6262,174,1272,2
352784385,0,1585,325,3,2111,2
309860682,0,0,48,39,147,2
293123950,0,3501,259,654,506,2
329011710,0,4626,664,416,41025,2
293290477,0,13,16,67,624,2
309509991,0,15,2402,1560,11955,2
299400858,0,2060,325,1034,2791,2
346502047,0,2,205,187,1904,2
342071513,0,0,186,105,294,2
294783042,0,466,78,213,1528,2
308910043,0,1208,335,333,3999,2
342545863,0,0,44,38,228,2
328732495,0,21,90,165,301,2
295540075,0,0,46,130,139,2
345574179,0,4341,1130,894,6579,2
333678858,0,1,33,69,270,2
297794688,0,27,244,1139,570,2
345573626,0,0,55,104,460,2
298034838,0,1574,405,397,17444,2
298599447,0,1192,1847,1811,18240,2
333193666,0,34,175,299,1154,2
345337138,0,3,22,99,612,2
343112578,0,89,48,297,1198,2
344770385,0,64,92,198,314,2
331217988,0,535,309,287,3740,2
296501454,0,170,287,740,1371,2
292813985,0,434,363,316,11620,2
328650555,0,3,92,107,1282,2
328510154,0,90,290,431,4614,2
321976884,0,0,34,31,447,2
352539488,0,0,8,34,265,2
286821917,0,8,239,270,747,2
287802152,0,236,139,643,957,2
351687422,0,13,218,527,686,2
301602415,0,1272,291,274,1482,2
335105871,0,5,405,202,8973,2
324989352,0,8,135,1167,141,2
301117224,0,859,405,362,2249,2
310664994,0,4033,282,255,2393,2
310444782,0,327,126,870,1665,2
348877066,0,1648,1165,235,1716,2
289094552,0,0,16,184,140,2
310217455,0,7,32,72,1072,2
325720665,0,16,90,112,5922,2
348622461,0,32,130,142,326,2
341471125,0,16,141,265,1691,2
300315129,0,20,58,65,4516,2
327698245,0,643,472,370,20873,2
333861798,0,17809,371,377,26191,2
309978815,0,9,15,48,276,2
341482383,0,69,130,154,1043,2
348182815,0,22,89,309,545,2
291577171,0,1,144,228,1245,2
292177882,0,65,126,297,2811,2
286794229,0,10352,569,469,17804,2
328416131,0,24,326,192,2154,2
2926521,0,23,73,107,12818,2
358329848,0,360,432,404,5723,2
479992400,0,282,137,236,389,2
480819398,0,121,72,182,1468,2
481193701,0,1350,588,340,5674,2
481328980,0,194,6383,3695,55173,2
481879594,0,19,205,168,5652,2
483643089,0,3966,536,347,11165,2
483891354,0,0,26,137,681,2
485302767,0,716,793,623,12956,2
488346089,0,0,37,53,1022,2
489625732,0,69,22,79,275,2
489754814,0,5,88,147,295,2
491655219,0,8,99,62,190,2
491886244,0,1300,280,414,3885,2
492592191,0,25,75,271,434,2
495807294,0,1,24,62,134,2
495877779,0,0,45,55,364,2
495995049,0,560,102,119,2618,2
497663483,0,1,40,100,799,2
498011191,0,22,128,56,521,2
498017872,0,0,25,67,911,2
498084588,0,9,174,426,2111,2
498126567,0,6123,673,600,16745,2
498571835,0,7,12,24,215,2
499624134,0,2,132,190,163,2
499877674,0,5,27,183,219,2
479041151,0,1664,232,331,3344,2
500141680,0,2316,117,231,6380,2
478327111,0,19,335,154,5691,2
476137381,0,2036,103,159,1428,2
454450759,0,1137,412,372,3432,2
456490235,0,1007,1819,1783,26079,2
457004551,0,0,1,631,428,2
457371296,0,6638,837,477,14508,2
457473309,0,39,358,594,3259,2
458208148,0,1659,249,585,5691,2
458410527,0,5,132,129,867,2
459889429,0,1,66,273,163,2
460770271,0,3566,391,440,2430,2
463440044,0,30,235,284,515,2
464263167,0,167,57,428,1815,2
464572510,0,268,622,736,8217,2
464896426,0,63,27,94,161,2
465589599,0,0,1018,30,769,2
467762431,0,3157,239,282,2563,2
468369126,0,0,26,46,155,2
468704390,0,6418,733,885,4326,2
470988677,0,759,335,269,21263,2
471191886,0,19,27,24,314,2
471846910,0,35,8,58,108,2
472538824,0,2,46,86,222,2
472713812,0,3,143,250,901,2
473528853,0,12,197,201,840,2
474234810,0,4,45,176,1,2
475173748,0,34,542,1007,848,2
477408091,0,9,267,192,1843,2
454133824,0,1727,411,358,7649,2
500348917,0,126,108,224,1526,2
503708937,0,1894,151,153,2252,2
536159553,0,2,86,103,116,2
536340740,0,4,20,222,141,2
536458257,0,291,241,351,443,2
536736253,0,0,77,280,161,2
540186217,0,30,394,1731,354,2
540355742,0,5736,281,151,13141,2
543207892,0,0,16,79,148,2
543795060,0,93,302,663,8108,2
546594569,0,5,100,398,490,2
546637226,0,151,66,90,519,2
546672015,0,0,15,67,153,2
548108055,0,735,356,573,4241,2
548592934,0,4,49,77,260,2
548860599,0,282,174,236,2706,2
549225012,0,38,37,276,278,2
549451159,0,475,436,417,7756,2
549519769,0,56,648,795,3492,2
549704066,0,553,275,392,3973,2
550833848,0,6,83,14,486,2
551260643,0,137,185,524,420,2
552681700,0,4102,295,182,8674,2
552894202,0,0,19,91,129,2
554221592,0,0,20,61,146,2
554716229,0,0,19,66,135,2
556540299,0,24,38,279,225,2
533672134,0,111,61,141,642,2
500365447,0,108760,603,711,40297,2
533312105,0,0,111,93,365,2
532971606,0,3,70,147,151,2
507579409,0,167,1774,74,299,2
507827130,0,0,277,12,752,2
508572745,0,555,131,21,3885,2
513802571,0,9,82,304,520,2
514272447,0,408,322,363,1808,2
516025357,0,80,41,89,531,2
517819474,0,39,6,44,1123,2
518176582,0,7,11,31,1110,2
518230507,0,110,117,337,2152,2
520148521,0,155,323,432,31522,2
520804427,0,2,63,82,363,2
521542943,0,5432,253,351,11511,2
522219654,0,39,6510,419,3408,2
522507427,0,32,17,99,801,2
522946198,0,62,297,265,4786,2
525575285,0,14,25,120,163,2
526540126,0,99,312,356,1988,2
526569250,0,9,146,1627,172,2
526676548,0,11,12,59,772,2
526870143,0,4123,273,194,6197,2
529620418,0,1400,301,194,4686,2
529762683,0,78,122,1,863,2
531946042,0,1,24,64,124,2
532187138,0,11,112,33,812,2
532596976,0,525,199,367,2120,2
532981945,0,645,2617,1982,76352,2
358027657,0,3535,650,279,22814,2
405636749,0,21,99,216,4585,2
379269724,0,3095,235,220,13749,2
377515493,0,996,291,415,4941,2
358536766,0,2254,146,563,5754,2